,index,mc_type,k,feat,noise,sep,Sums,only
177,hubers,pca_trans,2,10,0.5,1.0,0,0
178,norm,pca_trans,2,10,0.5,1.0,0,0
179,tss,pca_trans,2,10,0.5,1.0,0,0
180,hubers,min_max,2,10,0.5,3.0,0,1
181,norm,min_max,2,10,0.5,3.0,0,1
182,tss,min_max,2,10,0.5,3.0,0,0
183,hubers,random_order,2,10,0.5,3.0,3,0
184,norm,random_order,2,10,0.5,3.0,0,0
185,tss,random_order,2,10,0.5,3.0,0,0
186,hubers,pca_trans,2,10,0.5,3.0,1,2
187,norm,pca_trans,2,10,0.5,3.0,5,0
188,tss,pca_trans,2,10,0.5,3.0,0,0
189,hubers,min_max,4,10,0.5,0.5,0,0
190,norm,min_max,4,10,0.5,0.5,0,0
191,tss,min_max,4,10,0.5,0.5,0,0
192,hubers,random_order,4,10,0.5,0.5,2,0
193,norm,random_order,4,10,0.5,0.5,0,0
194,tss,random_order,4,10,0.5,0.5,0,0
195,hubers,pca_trans,4,10,0.5,0.5,0,0
196,norm,pca_trans,4,10,0.5,0.5,0,0
197,tss,pca_trans,4,10,0.5,0.5,0,0
198,hubers,min_max,4,10,0.5,1.0,0,0
199,norm,min_max,4,10,0.5,1.0,0,0
200,tss,min_max,4,10,0.5,1.0,0,0
201,hubers,random_order,4,10,0.5,1.0,2,0
202,norm,random_order,4,10,0.5,1.0,0,0
203,tss,random_order,4,10,0.5,1.0,0,0
204,hubers,pca_trans,4,10,0.5,1.0,0,0
205,norm,pca_trans,4,10,0.5,1.0,0,0
206,tss,pca_trans,4,10,0.5,1.0,0,0
207,hubers,min_max,4,10,0.5,3.0,0,0
208,norm,min_max,4,10,0.5,3.0,0,0
209,tss,min_max,4,10,0.5,3.0,0,0
210,hubers,random_order,4,10,0.5,3.0,2,0
211,norm,random_order,4,10,0.5,3.0,0,0
212,tss,random_order,4,10,0.5,3.0,0,0
213,hubers,pca_trans,4,10,0.5,3.0,1,0
214,norm,pca_trans,4,10,0.5,3.0,5,0
215,tss,pca_trans,4,10,0.5,3.0,0,0
216,hubers,min_max,5,10,0.5,0.5,0,0
217,norm,min_max,5,10,0.5,0.5,0,0
218,tss,min_max,5,10,0.5,0.5,0,0
219,hubers,random_order,5,10,0.5,0.5,2,0
220,norm,random_order,5,10,0.5,0.5,0,0
221,tss,random_order,5,10,0.5,0.5,0,0
222,hubers,pca_trans,5,10,0.5,0.5,0,0
223,norm,pca_trans,5,10,0.5,0.5,0,0
224,tss,pca_trans,5,10,0.5,0.5,0,0
225,hubers,min_max,5,10,0.5,1.0,0,0
226,norm,min_max,5,10,0.5,1.0,0,0
227,tss,min_max,5,10,0.5,1.0,0,0
228,hubers,random_order,5,10,0.5,1.0,0,0
229,norm,random_order,5,10,0.5,1.0,0,0
230,tss,random_order,5,10,0.5,1.0,0,0
231,hubers,pca_trans,5,10,0.5,1.0,0,0
232,norm,pca_trans,5,10,0.5,1.0,0,0
233,tss,pca_trans,5,10,0.5,1.0,0,0
234,hubers,min_max,5,10,0.5,3.0,0,0
235,norm,min_max,5,10,0.5,3.0,3,0
236,tss,min_max,5,10,0.5,3.0,0,0
237,hubers,random_order,5,10,0.5,3.0,5,0
238,norm,random_order,5,10,0.5,3.0,3,0
239,tss,random_order,5,10,0.5,3.0,0,0
240,hubers,pca_trans,5,10,0.5,3.0,0,0
241,norm,pca_trans,5,10,0.5,3.0,5,0
242,tss,pca_trans,5,10,0.5,3.0,0,0
